wod1,wod2
AGOQ Workout 1,"For time:
100 dumbbell snatches
80-cal. row
60 bar-facing burpees
40 muscle-ups"
Rest Day,"""PubMed Begins Flagging Conflicted Research: Coke Science Now Searchable,"" The Russells."
Snatch 3-3-3-3-3 reps,Post loads to comments.
"For time:
135-lb. thrusters, 15 reps
135-lb. sumo deadlift high pulls, 21 reps
135-lb. thrusters, 12 reps
135-lb. sumo deadlift high pulls, 15 reps
135-lb. thrusters, 9 reps
135-lb. sumo deadlift high pulls, 9 reps",Post time to comments.
"For time:
15-ft. rope climb, 30 ascents",Post time to comments.
Rest Day,"""Type 2 diabetes, once considered a disease for adults, is increasingly common in tweens and teens,"" Los Angeles Times."
Wes,"For time:
Run 800 meters with a 25-lb. plate
Then, 14 rounds of:
     5 strict pull-ups
     4 burpee box jumps, 24-in. box
     3 cleans, 185 lb.
Then, run 800 meters with a 25-lb. plate"
"On the C2 rower, 10 rounds of:
Pull a sub-1:30/500-m pace for as long as possible
Rest 1 minute",Post time maintained each round to comments.
Back squat 1-1-1-1-1-1-1 reps,Post loads to comments.
Rest Day,"""Tackling Weight Loss and Diabetes With Video Chats,"" The New York Times."
"5 rounds for time of:
225-lb. clean and jerks, 4 reps
6 bar muscle-ups
40-ft. handstand walk",Post time to comments.
"4 rounds for time of:
15 box jumps, 36-inch box
Run 400 meters",Post time to comments.
"30-20-10 reps for time of:
35-lb. dumbbell thrusters
Toes-to-bars",Post time to comments.
Rest Day,"""Coca-Cola's secret influence on medical and science journalists,"" The bmj."
"Complete as many rounds as possible in 20 minutes of:
Run 400 meters
15 L pull-ups
15 hip extensions",Post rounds completed to comments.
Deadlift 3-3-3-3-3 reps,Post loads to comments.
"Complete as many rounds as possible in 15 minutes of:
21 GHD sit-ups
14 one-arm dumbbell push jerks","Use a single, heavy dumbbell and alternate arms each rep."
Rest Day,"""Joël Robuchon Believes Healthy Food Is the Future of Fine Dining,"" Vice."
"6-9-12-9-6 reps for time of:
Burpees over the bar
185-lb. front squats
Chest-to-bar pull-ups",Post time to comments.
"Complete as many rounds as possible in 10 minutes of:
10 handstand push-ups
95-lb. front rack walking lunges, 15 steps",Post rounds completed to comments.
Clean and jerk 3-3-3-3-3 reps,Post loads to comments.
Rest Day,"""Sugar now an investment risk, says AMP,"" The Australian."
Amanda,"9-7-5 reps for time of:
Muscle-ups
135-lb. squat snatches"
"5 rounds for time of:
Run 400 meters
185-lb. deadlifts, 21 reps",Post time to comments.
"For time:
20-lb. medicine-ball cleans, 50 reps
155-lb. push jerks, 25 reps
20-lb. medicine-ball cleans, 50 reps",Post time to comments.
Rest Day,"""Leaked email reveals dietitian's murky relationship with Monsanto,"" Food.mic."
"3 rounds for time:
One minute of 135-lb. back squats
Rest one minute
One minute of chest-to-bar pull-ups
Rest one minute
One minute of 135-lb. power cleans
Rest one minute",Post total reps completed to comments.
Run 5 km,Post time to comments.
Workout 17.5,"10 rounds for time of:
9 thrusters
35 double-unders"
Rest Day,"""Muhtar Meets Pablo: Laundering Coke Dollars,"" The Russells."
"Weighted pull-ups 3-3-3-3-3 reps
Row 1,000 meters",Post loads and row time to comments.
Liam,"For time:
Run 800 meters with a 45-lb. plate
100 toes-to-bars
155-lb. front squats, 50 reps
15-ft. rope climbs, 10 ascents
Run 800 meters with a 45-lb. plate"
Midline March,"3 rounds for time of:
25 GHD sit-ups
50-foot handstand walk
50-foot overhead walking lunge, 155 lb."
Rest Day,"""Years of Ethics Charges, but Star
Cancer Researcher Gets a Pass,"" The New York Times."
"Front squat 3-3-3 reps
Thruster 3-3-3 reps
Push jerk 3-3-3 reps",Post loads to comments.
Workout 17.4,"Complete as many rounds and reps as possible in 13 minutes of:
55 deadlifts
55 wall-ball shots
55-calorie row
55 handstand push-ups"
"5 rounds for time of:
10 kettlebell clean and jerks, 1.5 pood each
3 muscle-ups",Post time to comments.
Rest Day,"""We're all getting fat,"" Politico."
Back squat 3-3-3-3-3 reps,Post loads to comments.
"3 rounds for time of:
3 legless rope climbs
6 push jerks, 225 lb.
12 deadlifts, 225 lb.
24 GHD sit-ups
48 wall-ball shots, 20-lb. ball",Post time to comments.
"For time:
Row 500 meters
30 body-weight bench presses
Row 1,000 meters
20 body-weight bench presses
Row 2,000 meters
10 body-weight bench presses",Post time to comments.
Rest Day,"""Obesity's hefty price tag,"" Politico."
Workout 17.3,"*Prior to 8:00, complete:
3 rounds of:
      6 chest-to-bar pull-ups
      6 squat snatches, (95 / 65 lb.)
Then, 3 rounds of:
      7 chest-to-bar pull-ups
      5 squat snatches (135 / 95 lb.)
*Prior to 12:00, 3 rounds of:
      8 chest-to-bar pull-ups
      4 squat snatches (185 / 135 lb.)
*Prior to 16:00, 3 rounds of:
      9 chest-to-bar pull-ups
      3 squat snatches (225 / 155 lb.)
*Prior to 20:00, 3 rounds of:
      10 chest-to-bar pull-ups
      2 squat snatches (245 / 175 lb.)
Prior to 24:00, 3 rounds of:
      11 chest-to-bar pull-ups
      1 squat snatch (265 / 185 lb.)"
"3 rounds for time of:
Run 800 meters
Rest 2 minutes",Post time to comments.
Deadlift 5-5-3-3-3-1-1-1-1 reps,Post loads to comments.
Rest Day,"""The Brain Can Produce Its Own Sugar: Report,"" U.S. News."
"4 rounds for time of:
15 ring dips
30 GHD sit-ups
Run 400 meters",Post time to comments.
"5 rounds for time of:
100-foot handstand walk
30 one-legged squats, alternating",Post time to comments.
Rest Day,"""From mother to baby: 'Secondhand sugars' can pass through breast milk,"" ScienceDaily."
Workout 17.2,Complete as many rounds and reps as possible in 12 minutes of:
Overhead squat 3-3-3-3-3 reps,Post loads to comments.
"5 rounds of:
5 minutes of rowing
5 minutes of rest",Post distance rowed for each interval to comments.
"Complete as many rounds as possible in 7 minutes of:
135-lb. power cleans, 10 reps
20 push-ups",Post rounds completed to comments.
Rest Day,"""Leaked emails reveal largest group of dietitians wants to hide ties to Big Soda,"" Food.mic."
"Complete as many rounds as possible in 12 minutes of:
15-ft. rope climbs, 3 ascents
135-lb. push presses, 12 reps
50 double-unders",Post rounds completed to comments.
"Front squat 5-5-3-3-3-1-1-1-1-1 reps
Run 1 mile",Post loads and mile time to comments.
Workout 17.1,"For time:
10 dumbbell snatches
15 burpee box jump-overs
20 dumbbell snatches
15 burpee box jump-overs
30 dumbbell snatches
15 burpee box jump-overs
40 dumbbell snatches
15 burpee box jump-overs
50 dumbbell snatches
15 burpee box jump-overs"
Rest Day,"""Crash-test dummies are older and fatter -- just like many Americans,"" CNN."
"Complete as many rounds as possible in 10 minutes of:
10 handstand push-ups to 6-in. deficit
20-calorie row
30 single-legged squats, alternating",Post rounds completed to comments.
Yeti,"For time:
25 pull-ups
10 muscle-ups
1.5-mile run
10 muscle-ups
25 pull-ups"
"For time:
42 GHD sit-ups
115-lb.  squat clean thrusters, 21 reps
30 GHD sit-ups
115-lb.  squat clean thrusters, 15 reps
18 GHD sit-ups
115-lb.  squat clean thrusters, 9 reps",Post time to comments.
Rest Day,"""CrossFit founder wants investigation into soda companies,"" Fox News."
Tabata Barbell,"Tabata deadlift, 185 lb.
Tabata hang power clean, 135 lb.
Tabata front squat, 85 lb.
Tabata push press,  65 lb."
Workout 16.3,"Complete as many rounds and reps as possible in 7 minutes of:
10 power snatches
3 bar muscle-ups"
"Behind-the-neck jerk 1-1-1-1-1-1 reps
Push jerk 10-8-6-4-2 reps",Post loads to comments.
Rest Day,"""The Eagle Huntress - Soaring Cinematography Featurette,"" YouTube."
"Make 3 attempts at each of the following:
Max set toes-to-bars
Max set ring dips
Broad jump for distance
Then,
Row 2,000 meters for time",Rest as needed between exercises.
Workout 11.2,Complete as many rounds and reps as possible in 15 minutes of:
500 double-unders for time.,Start a clock and at the beginning of each minute perform 3 bodyweight front squats.
Rest Day,"""New twist in Noakes case
,"" Times Live."
Cameron,"For time:
50 walking lunge steps
25 chest-to-bar pull-ups
50 box jumps, 24-in. box
25 triple-unders
50 back extensions
25 ring dips
50 knees-to-elbows
25 wall-ball ""2-fer-1s"", 20-lb. ball
50 sit-ups
15-ft. rope climbs, 5 ascents"
Workout 15.4,"Complete as many reps as possible in 8 minutes of:
3 handstand push-ups
3 cleans
6 handstand push-ups
3 cleans
9 handstand push-ups
3 cleans
12 handstand push-ups
6 cleans
15 handstand push-ups
6 cleans
18 handstand push-ups
6 cleans
21 handstand push-ups
9 cleans"
"For time:
Fran
1-mile run",Fran is 21-15-9 reps for time of 95-lb. thrusters and pull-ups. Complete Fran before running the mile.
Rest Day,"""Coca-Cola to release their healthiest cola ever in Japan this March,"" Rocket News."
"5 rounds for time of:
Max calorie row in 60 seconds
50-lb. Turkish get-ups","Complete a total of 40 reps (or calories) in each round. For example, if you row 25 calories, complete 15 Turkish get-ups for that round. If you row 30 calories, complete 10 Turkish get-ups for that round."
Back squat 5-5-5-5-5 reps,Post loads to comments.
Workout 12.2,"Proceed through the sequence below, completing as many reps as possible in 10 minutes of:
75-lb. snatches, 30 reps
135-lb. snatches, 30 reps
165-lb. snatches, 30 reps
210-lb. snatches, as many reps as possible"
Rest Day,"""Affiliates Rush to Purchase Essential Fitness Equipment After Learning Open Will Require Weights,"" The Overheard Press."
Badger,"3 rounds for time of:
95-lb. squat cleans, 30 reps
30 pull-ups
Run 800 meters"
Push press 1-1-1-1-1-1-1 reps.,Post loads to comments.
"Five 3-minute rounds of:
185-lb. front squats, 10 reps
10 box jumps, 36-in. box
Row for max calories",Rest 3 minutes between rounds.
Rest Day,"""Americans were making a lot of progress cutting back on sugary drinks. Now that's stopped."" The Washington Post."
"15-12-9 reps for time of:
Toes-to-bars
Wall-ball shots, 20-lb. ball
75-lb. thrusters",Post time to comments.
Weston,"5 rounds for time of:
Row 1,000 meters
200-m farmers carry, 45-lb. dumbbells
45-lb. dumbbell waiters walk, 50 meters, right arm
45-lb. dumbbell waiters walk, 50 meters, left arm"
"4 rounds for time of:
95-lb. power snatches, 20 reps
50 double-unders",Post time to comments.
Rest Day,"""Get the junk food out of SNAP,"" The Hill."
"10 rounds, each for time, of:
100-meter sprint
Rest 90 seconds",Post times for each round to comments.
"Make 3 attempts at each of the following:
Max set L pull-up
Max distance handstand walk
Max set pull-up
Max time handstand hold","Post reps, distance and time to comments."
"Burpee + 185-lb. back-squat ladder
Rest 3 minutes
Burpee + 115-lb. shoulder-press ladder
Rest 3 minutes
Burpee + 245-lb. deadlift ladder","For the ladder pattern, perform 1 rep of each exercise the first minute, 2 reps of each the second minute, 3 reps of each the third minute, continuing as long as you are able. Use as many sets each minute as needed."
Rest Day,"""Kids Menus Aren't Getting Healthier, New Study Finds,"" Consumer Reports."
Snatch balance 3-3-3-3-3 reps,Post loads to comments.
"15-12-9 reps for time of:
135-lb. thrusters
Muscle-ups",Post time to comments.
Paul Pena,"7 rounds, each for time of:
100-meter sprint
19 kettlebell swings, 2 pood
10 burpee box jumps, 24-inch
Rest 3 minutes"
Rest Day,"""In the Shopping Cart of a Food Stamp Household: Lots of Soda,"" The New York Times."
Power clean 3-3-3-3-3 reps,Post loads to comments.
"5 rounds for time of:
Run 800 meters
75-lb. overhead squats, 25 reps
75-lb. sumo deadlift high pulls, 25 reps",Post time to comments.
"For time:
50 box jumps, 24-inch box
50 jumping pull-ups
50 kettlebell swings, 1 pood
50 walking-lunge steps
50 knees-to-elbows
50 push presses, 45 lb.
50 back extensions
50 wall-ball shots, 20-lb. ball
50 burpees
50 double-unders",Post time to comments.
Rest Day,"""Unintended Consequences, Special Interests, and Our Problem with Sugar,"" Cato Unbound."
Linda,"10-9-8-7-6-5-4-3-2-1 reps for time of:
1 1/2 body-weight deadlift
Body-weight bench press
3/4 body-weight clean"
"Complete as many rounds as possible in 12 minutes of:
20 GHD sit-ups
10 left-arm overhead walking lunges
10 right-arm overhead walking lunges",Use a 60-lb. dumbbell on the lunges.
"Complete as many rounds as possible in 20 minutes of:
10 pull-ups
15 push-ups
20 squats",Post rounds completed to comments.
Rest Day,"""Is sugar the world's most popular drug?"" The Guardian."
Overhead squat 3-3-3-3-3 reps,Post loads to comments.
Helen,"3 rounds for time of:
Run 400 meters
1.5-pood kettlebell swings, 21 reps
12 pull-ups"
"7 rounds for time of:
10 handstand push-ups
2 rope ascents, 15-ft. rope",Post time to comments.
Rest Day,"""How to Become a 'Superager',"" The New York Times."
Karen,"For time:
150 wall-ball shots, 20-lb. ball"
CrossFit Total,"Back squat, 1 rep
Shoulder press, 1 rep
Deadlift, 1 rep"
"3 rounds for time of:
Row 50 calories
150 double-unders
50 walking lunges",Post time to comments.
Rest Day,"""Aging Well: Keeping Blood Sugar Low May Protect Memory,"" NPR."
"For time, fast and heavy:
21 dumbbell thrusters
Run 400 meters
18 dumbbell thrusters
Run 400 meters
15 dumbbell thrusters
Run 400 meters",Post time and load to comments.
"5 rounds for time of:
20 L pull-ups
16 ring dips",Post time to comments.
Hang squat snatch 1-1-1-1-1-1-1 reps,Post loads to comments.
Rest Day,"""The case against sugar,"" Gary Taubes for Aeon."
Nick,"12 rounds for time of:
45-lb. dumbbell hang squat cleans, 10 reps
6 handstand push-ups on dumbbells"
"5 rounds for time of:
Run 800 meters
30 GHD sit-ups
30 hip extensions",Post time to comments.
"For time:
15 burpees, jumping over the barbell
225-lb. clean and jerks, 5 reps
12 burpees, jumping over the barbell
225-lb. clean and jerks, 4 reps
9 burpees, jumping over the barbell
225-lb. clean and jerks, 3 reps",Post time to comments.
Rest Day,"""CrossFit Group Rallies Around Family Robbed of Christmas,"" NBC Chicago News."
"Dumbbell overhead squat 5-5-5-5-5 reps
Bench press 3-3-3-3-3 reps
5 attempts at a max set of triple-unders",Post loads and jump-rope reps to comments.
Tiff,"On a 25-minute clock,
Run 1.5 miles
Then perform as many rounds as possible of:
11 chest-to-bar pull-ups
7 hang squat cleans, 155 lb.
7 push presses, 155 lb."
"Row 5,000 meters",Post time to comments.
Rest Day,"""Study Tied to Food Industry Tries to Discredit Sugar Guidelines,"" The New York Times."
"For time:
135-lb. thrusters, 10 reps
50 double-unders
135-lb. thrusters, 8 reps
40 double-unders
135-lb. thrusters, 6 reps
30 double-unders
135-lb. thrusters, 4 reps
20 double-unders
135-lb. thrusters, 2 reps
10 double-unders",Post time to comments.
"10 rounds for time of:
3 weighted pull-ups, 45 lb.
5 strict pull-ups
7 kipping pull-ups","For weighted pull-ups, place a 45-lb. dumbbell between the legs above crossed ankles and jettison the dumbbell after third rep. Then continue with strict pull-ups and kipping pull-ups. Coming off the bar or going to ground constitutes termination of a set."
"Shoulder press 1-1-1-1-1 reps
Push press 3-3-3-3-3 reps
Push jerk 5-5-5-5-5 reps",Post loads to comments.
Rest Day,"""Cheyenne Police Department creates position to address recruiting issues,"" Wyoming Tribune Eagle."
Johnson,"Complete as many rounds in 20 minutes as you can of:
245-lb. deadlifts, 9 reps
8 muscle-ups
155-lb. squat cleans, 9 reps"
"5 rounds for time of:
12 left-arm kettlebell snatches, 1.5 pood
12 right-arm kettlebell snatches, 1.5 pood
15-ft. rope climbs, 3 ascents
250-m row
Rest 3 minutes",Post time to comments.
"For time:
30 wall-ball shots, 30-lb. ball
Run 1 mile
30 wall-ball shots, 30-lb. ball",Post time to comments.
Rest Day,"""Coke targets 'foodies' as more people move away from sodas,"" AP News."
"For time:
20-calorie bike
165-lb. clean and jerks, 20 reps
20-calorie bike","If you don't have an indoor bike, use a rower."
"Back squat 3-3-3-3 reps
Thruster 3-3-3-3 reps
4 attempts at a max L-sit hold for time",Post loads and time in L-sit holds to comments.
"3 rounds for time of:
Run 400 meters
15 pull-ups
50 squats
15 pull-ups",Compare to 101208.
Rest Day,"""Life Expectancy In U.S. Drops For First Time In Decades, Report Finds,"" NPR."
Elizabeth,"21-15-9 reps for time of:
135-lb. cleans
Ring dips"
Hang power snatch 3-3-3-3-3 reps,Post loads to comments.
"21-18-15-12-9-6-3 reps for time of:
GHD sit-ups
95-lb. shoulder presses",Post time to comments.
Rest Day,"""Nearly half of America's overweight people don't realize they're overweight,"" The Washington Post."
"Complete as many rounds as possible in 20 minutes of:
10 chest-to-bar pull-ups
20 one-legged squats, alternating
10 box jumps, 36-in. box",Post rounds completed to comments.
Deadlift 1-1-1-1-1-1-1 reps,Post loads to comments.
Manuel,"5 rounds of:
3 minutes of rope climbs
2 minutes of squats
2 minutes of push-ups
3 minutes to run 400 meters"
Rest Day,"""Use of statins increases risk of developing diabetes by 46 percent,"" Science Daily."
"50-40-30-20-10 reps for time of:
GHD sit-ups
2-pood kettlebell swings",Post time to comments.
BSU,"3 rounds for time of:
165-lb. thrusters, 7 reps
15 muscle-ups
165-lb. power snatches, 10 reps"
"For time:
Row 50 calories
50 handstand push-ups
50 L pull-ups
95-lb. sumo deadlift high pulls, 50 reps
50 inverted burpees
50 toes-to-bars
Row 50 calories",Post time to comments.
Rest Day,"""How Kellogg worked with 'independent experts' to tout cereal"" AP News."
"10 rounds of:
30 seconds of burpees
Rest 30 seconds
30 seconds of 45-lb. dumbbell thrusters
Rest 30 seconds",Post total reps completed to comments.
"5 rounds, each for time, of:
Run 800 meters
Rest 3 minutes",Post time for each interval to comments.
"Complete as many rounds as possible in 20 minutes of:
50 double-unders
100-ft. walking lunge
100-ft. bear crawl",Post rounds completed to comments.
Rest Day,"""Big Soda's Balance Calories Initiative: Rigged Marketing or Public Health Promotion?"" The Russells."
Hollywood,"For time:
Run 2 km
22 wall-ball shots, 30-lb. ball
22 muscle-ups
22 wall-ball shots, 30-lb. ball
22 power cleans,  185-lb.
22 wall-ball shots, 30-lb. ball
Run 2 km"
Push jerk 3-3-3-3-3 reps,Post loads to comments.
"21-15-9 reps for time of:
275-lb. deadlifts
Burpees, jumping over the barbell",Post time to comments.
Rest Day,"""Congressman Tim Ryan Wants to Start a Food Revolution,"" Civil Eats."
Daniel,"For time:
50 pull-ups
400-meter run
95-lb. thrusters, 21 reps
800-meter run
95-lb. thrusters, 21 reps
400-meter run
50 pull-ups"
"For time:
150 burpees",Post time to comments.
Nukes,"8 minutes to complete:
1-mile run
315-lb. deadlifts, max reps
Then, 10 minutes to complete:
1-mile run
225-lb. power cleans, max reps
Then, 12 minutes to complete:
1-mile run
135-lb. overhead squats, max reps"
Rest Day,"""Genetic Heart Disease Risk Eased by Healthy Habits, Study Finds,"" New York Times."
"3 rounds, each for time of:
100 single-unders
50 double-unders
25 triple-unders",Rest as needed between rounds.
Every 2 minutes for as long as possible complete:,From 0:00-2:00
Overhead squat 1-1-1-1-1-1-1 reps,Post loads to comments.
Rest Day,"""Just one can of fizzy drink a day IS enough to raise the risk of developing diabetes by 50%,"" Daily Mail."
"4 rounds for time of:
Lunge 100 meters
Run 300 meters",Wear a 20-lb. weight vest.
"Complete as many rounds as possible in 10 minutes of:
10 handstand push-ups to 6-in. deficit
20-calorie row
30 single-legged squats, alternating",Post rounds completed to comments.
"Complete as many rounds as possible in 15 minutes of:
4 bar muscle-ups
45-lb. dumbbell Turkish get-ups, 6 reps
8 ring push-ups",Post rounds completed to comments.
Rest Day,"""Kendrick Lamar and Rick Rubin Have an Epic Conversation,"" The Scene."
Clean and jerk 1-1-1-1-1-1-1 reps,Post loads to comments or register for the Liftoff and log your score on the leaderboard.
"Complete as many rounds as possible in 15 minutes of:
25 pull-ups
50-calorie row
100 overhead squats
50 box jumps
25 pull-ups","Men use a 45-lb. barbell and 24-in. box
Women use a 35-lb. barbell and 20-in. box"
Snatch 1-1-1-1-1-1-1 reps,Post loads to comments or register for the Liftoff and log your score on the leaderboard.
Rest Day,"""Conflicts of interest compromise US public health agency's mission, say scientists,"" The BMJ."
"Complete as many rounds as possible in 7 minutes of:
135-lb. sumo deadlift high pulls, 10 reps
135-lb. push presses, 10 reps",Post rounds completed to comments.
"For time:
Run 400 meters
Rest 1 minute
Run 800 meters
Rest 2 minutes
Run 1,200 meters
Rest 3 minutes
Run 1,600 meters",Post time to comments.
"3 rounds SLOWLY of:
5 strict toes-to-bars
5 strict knees-to-elbows
10 toes-to-bars
10 hip-back extensions
20 back extensions
20 hip extensions",Post time to comments.
Rest Day,"""Sugar Linked To $1 Trillion In U.S. Healthcare Spending,"" Forbes."
Test 3,"Tabata squat
Max reps of muscle-ups in 4 minutes"
"For time:
1,000-m row
50 wall-ball shots
50 box jumps
750-m row
35 wall-ball shots
35 box jumps
500-m row
25 wall-ball shots
25 box jumps",Use a 20-lb. ball and a 24-in. box.
"Helen
3 rounds for time of:
Run 400 meters
1.5-pood kettlebell swings, 21 reps
12 pull-ups",Post time to comments.
Rest Day,"""Are Conflicts of Interest In Nutrition Less Worrisome?"" Weighty Matters."
"Complete as many rounds as possible in 10 minutes of:
20 GHD sit-ups
205-lb. squat cleans, 5 reps",Post rounds completed to comments.
Deadlift 10-5-3-1-1-1-3-5-10 reps,Post loads to comments.
Artie,"Complete as many rounds as possible in 20 minutes of:
5 pull-ups
10 push-ups
15 squats
5 pull-ups
10 thrusters, 95 lb."
Rest Day,"""If Soda Companies Don't Want to Be Treated Like Tobacco Companies They Need to Stop Acting Like Them,"" Scientific American."
"Complete as many rounds as possible in 40 minutes of:
Row 500 meters
100 double-unders",Post rounds completed to comments.
"27-21-15 reps for time of:
165-lb. back squats
Handstand push-ups",Post time to comments.
"3 rounds:
5 minutes of running
5 minutes of rest",Post distance ran each interval to comments.
Rest Day,"""Soda and Snack Food Companies Welcomed at Nutrition Conference,"" Time."
"3 rounds for time of:
10 strict knees-to-elbows
155-lb. power snatches, 10 reps
10 strict knees-to-elbows
10 burpees",Post time to comments.
Front squat 5-5-5-5-5 reps,Post loads to comments.
